date,active_users,new_signups,sessions,avg_session_duration_min,pages_per_session,bounce_rate_percent,mobile_percent,top_feature_used,peak_hour_utc
2024-01-01,12450,145,18900,24.5,8.3,22,38,Dashboard,14:00
2024-01-02,13200,178,20100,25.1,8.5,21,39,Analytics,15:00
2024-01-03,13850,165,21300,24.8,8.4,23,37,Reports,14:00
2024-01-04,14100,189,21800,25.3,8.6,20,40,Dashboard,14:00
2024-01-05,14600,201,22500,25.7,8.7,19,41,API,15:00
2024-01-08,15200,167,23400,26.2,8.9,18,39,Dashboard,14:00
2024-01-09,15800,198,24100,26.5,9.0,20,42,Analytics,15:00
2024-01-10,16300,212,24900,26.8,9.1,21,40,Mobile App,16:00
2024-01-11,16700,185,25400,25.9,8.8,22,43,Dashboard,14:00
2024-01-12,17100,223,26200,27.1,9.2,19,41,Reports,15:00
2024-01-15,17600,234,27000,27.4,9.3,18,44,Dashboard,14:00
2024-01-16,18200,245,27800,27.8,9.4,20,42,Analytics,15:00
2024-01-17,18700,256,28600,28.1,9.5,21,45,Integration,14:00
2024-01-18,19100,267,29300,27.5,9.2,22,43,Dashboard,14:00
2024-01-19,19600,278,30100,28.4,9.6,19,46,Mobile App,16:00
2024-01-22,20200,289,31000,28.7,9.7,18,44,Dashboard,14:00
2024-01-23,20800,301,31900,29.0,9.8,20,47,Analytics,15:00
2024-01-24,21300,312,32700,29.3,9.9,21,45,Reports,15:00
2024-01-25,21900,323,33600,28.6,9.5,22,48,Dashboard,14:00
2024-01-26,22400,334,34400,29.6,10.0,19,46,Collaboration,14:00
2024-01-29,23000,345,35300,29.9,10.1,18,49,Dashboard,14:00
2024-01-30,23600,356,36200,30.2,10.2,20,47,Analytics,15:00
2024-01-31,24100,367,37000,30.5,10.3,21,50,Mobile App,16:00
2024-02-01,24700,378,37900,30.1,10.0,22,48,Dashboard,14:00
2024-02-02,25300,389,38800,30.8,10.4,19,51,Reports,15:00
2024-02-05,25900,401,39700,31.1,10.5,18,49,Dashboard,14:00
2024-02-06,26500,412,40600,31.4,10.6,20,52,Analytics,15:00
2024-02-07,27100,423,41500,31.7,10.7,21,50,Integration,14:00
2024-02-08,27700,434,42400,31.0,10.4,22,53,Dashboard,14:00
2024-02-09,28300,445,43300,32.0,10.8,19,51,Mobile App,16:00
