date,stock_symbol,open_price,high_price,low_price,close_price,volume,market_cap_millions
2024-01-02,TECH,145.23,147.89,144.56,147.12,12500000,450000
2024-01-03,TECH,147.50,149.23,146.78,148.90,13200000,455000
2024-01-04,TECH,148.67,150.45,147.89,149.23,14100000,458000
2024-01-05,TECH,149.00,151.34,148.12,150.78,15300000,462000
2024-01-08,TECH,151.23,152.67,149.90,151.45,13800000,465000
2024-01-09,TECH,151.00,153.89,150.56,153.12,16200000,470000
2024-01-10,TECH,153.45,155.23,152.67,154.90,17500000,475000
2024-01-11,TECH,154.56,156.78,153.90,155.67,15900000,478000
2024-01-12,TECH,155.90,157.45,154.23,156.34,14700000,480000
2024-01-16,TECH,156.12,158.90,155.45,158.23,18300000,485000
2024-01-17,TECH,158.67,160.23,157.56,159.45,19100000,489000
2024-01-18,TECH,159.23,161.67,158.34,160.89,17800000,493000
2024-01-19,TECH,160.45,162.34,159.12,161.78,16500000,496000
2024-01-22,TECH,161.90,163.45,160.67,162.56,15200000,499000
2024-01-23,TECH,162.34,164.12,161.45,163.78,18900000,502000
2024-01-24,TECH,163.56,165.90,162.78,164.23,20100000,504000
2024-01-25,TECH,164.00,166.45,163.12,165.67,19500000,508000
2024-01-26,TECH,165.89,167.23,164.56,166.90,17300000,512000
2024-01-29,TECH,166.45,168.90,165.78,167.45,18700000,514000
2024-01-30,TECH,167.12,169.56,166.34,168.78,21200000,518000
2024-01-31,TECH,168.90,170.45,167.67,169.23,19800000,519000
2024-02-01,TECH,169.00,171.23,168.12,170.56,22500000,523000
2024-02-02,TECH,170.78,172.67,169.45,171.90,23100000,527000
2024-02-05,TECH,171.45,173.90,170.67,172.34,21800000,529000
2024-02-06,TECH,172.00,174.56,171.23,173.78,20500000,533000
2024-02-07,TECH,173.90,175.23,172.56,174.12,19200000,534000
2024-02-08,TECH,174.00,176.45,173.12,175.67,24300000,539000
2024-02-09,TECH,175.89,177.90,174.67,176.45,25600000,541000
2024-02-12,TECH,176.23,178.56,175.34,177.23,23900000,544000
2024-02-13,TECH,177.00,179.45,176.12,178.67,22700000,548000
2024-02-14,TECH,178.90,180.23,177.56,179.12,21500000,550000
2024-02-15,TECH,179.00,181.67,178.23,180.90,26800000,555000
2024-02-16,TECH,181.23,182.90,179.90,181.56,27200000,557000
2024-02-20,TECH,181.00,183.45,180.12,182.23,25400000,559000
2024-02-21,TECH,182.45,184.12,181.34,183.56,24100000,563000
2024-02-22,TECH,183.78,185.90,182.67,184.23,28500000,565000
2024-02-23,TECH,184.00,186.45,183.12,185.67,29300000,570000
2024-02-26,TECH,185.90,187.23,184.56,186.12,27800000,571000
2024-02-27,TECH,186.00,188.67,185.23,187.90,26500000,576000
2024-02-28,TECH,188.23,189.45,186.90,188.34,25100000,578000
2024-02-29,TECH,188.00,190.23,187.12,189.56,30200000,582000
2024-03-01,TECH,189.78,191.45,188.67,190.23,31500000,584000
2024-03-04,TECH,190.00,192.67,189.23,191.78,29800000,588000
2024-03-05,TECH,192.12,193.90,190.90,192.45,28600000,590000
2024-03-06,TECH,192.23,194.56,191.34,193.67,27300000,594000
2024-03-07,TECH,193.90,195.23,192.67,194.12,32100000,596000
2024-03-08,TECH,194.00,196.78,193.23,195.90,33400000,601000
2024-03-11,TECH,196.23,197.45,194.90,196.67,31800000,604000
2024-03-12,TECH,196.45,198.90,195.56,197.23,30500000,605000
2024-03-13,TECH,197.00,199.67,196.12,198.90,35200000,610000
