month,new_customers,churned_customers,net_retention_rate,expansion_revenue,contraction_revenue,total_arr,churn_rate_percent,ltv_cac_ratio,payback_months
Jan-2024,45,12,108,125000,-35000,12500000,2.8,3.2,18
Feb-2024,52,15,106,145000,-42000,13200000,3.1,3.1,17
Mar-2024,48,18,104,132000,-48000,13800000,3.5,3.0,18
Apr-2024,61,14,110,168000,-38000,14900000,2.7,3.4,16
May-2024,58,16,108,155000,-44000,15800000,2.9,3.3,17
Jun-2024,55,20,105,142000,-52000,16500000,3.6,3.1,18
Jul-2024,67,17,112,185000,-45000,17800000,2.9,3.5,15
Aug-2024,64,19,109,172000,-50000,18700000,3.2,3.3,16
Sep-2024,59,22,106,158000,-56000,19400000,3.7,3.2,17
Oct-2024,72,18,114,198000,-47000,21000000,2.8,3.6,14
Nov-2024,69,21,111,185000,-54000,22100000,3.3,3.4,16
Dec-2024,65,24,108,172000,-60000,22900000,3.8,3.3,17
