Department,Category,Jan_Budget,Jan_Actual,Feb_Budget,Feb_Actual,Mar_Budget,Mar_Actual,Total_Budget,Total_Actual
Sales,Salaries,85000,87500,85000,86200,85000,88100,255000,261800
Sales,Travel,12000,15800,12000,13200,12000,11500,36000,40500
Sales,Marketing,25000,23500,25000,26800,25000,27200,75000,77500
Sales,Tools,5000,4800,5000,5200,5000,5100,15000,15100
Engineering,Salaries,120000,120000,120000,121500,120000,119800,360000,361300
Engineering,Infrastructure,15000,18200,15000,16500,15000,14800,45000,49500
Engineering,Software Licenses,8000,7900,8000,8200,8000,7800,24000,23900
Engineering,Training,6000,5200,6000,6800,6000,6500,18000,18500
Marketing,Salaries,55000,56200,55000,55800,55000,54900,165000,166900
Marketing,Advertising,35000,42500,35000,38200,35000,36800,105000,117500
Marketing,Events,18000,16500,18000,19200,18000,20100,54000,55800
Marketing,Content,12000,11800,12000,12500,12000,11900,36000,36200
Operations,Salaries,65000,65000,65000,66100,65000,65200,195000,196300
Operations,Office,8000,8500,8000,7800,8000,8200,24000,24500
Operations,IT Support,10000,9800,10000,10500,10000,10200,30000,30500
Operations,Legal,5000,6200,5000,4800,5000,5500,15000,16500
HR,Salaries,42000,42000,42000,42500,42000,41800,126000,126300
HR,Recruiting,15000,18500,15000,16200,15000,14800,45000,49500
HR,Benefits Admin,8000,7900,8000,8100,8000,8200,24000,24200
HR,Training,6000,5500,6000,6300,6000,6800,18000,18600
