Region,Product,Q1_Revenue,Q2_Revenue,Q3_Revenue,Q4_Revenue,Total_Revenue
North America,Software,125000,132000,145000,158000,560000
North America,Hardware,85000,92000,88000,105000,370000
North America,Services,45000,48000,52000,55000,200000
Europe,Software,95000,102000,110000,125000,432000
Europe,Hardware,62000,68000,71000,82000,283000
Europe,Services,38000,42000,45000,48000,173000
Asia Pacific,Software,78000,85000,95000,108000,366000
Asia Pacific,Hardware,52000,58000,62000,72000,244000
Asia Pacific,Services,28000,32000,35000,38000,133000
Latin America,Software,42000,48000,52000,58000,200000
Latin America,Hardware,28000,32000,35000,42000,137000
Latin America,Services,15000,18000,21000,24000,78000
